question,ablation,R2,RMSE
Q1,1.Base(Balance),0.8072,0.2896
Q1,2.No_Balance(A_T3=30),0.7827,0.3075
Q1,3.No_Tier(A=141.3),0.7272,0.3445
Q1,4.Pure_Persistence,0.6657,0.3814
Q1,5.Direct_FILT,0.2954,0.5537
Q1,6.Mean_Pred,0.0,0.6596
Q2.AR,1.log-AR(3)+RidgeCV,0.6961371523696626,0.24126687177716902
Q2.AR,2.log-AR(6)+RidgeCV,0.6954501476492674,0.2412093237677042
Q2.AR,3.log-AR(12)+RidgeCV,0.6845624806973267,0.24909359331677905
Q2.AR,4.FILT-level AR(6),-6750.4038309112775,52.05740509203336
Q2.AR,5.log-AR(6)+ElasticNet,0.6923167704925284,0.24259028032174673
Q2.AR,6.log-AR(6)+Huber,0.6824599391985893,0.2301535174634597
Q2.AR,7.log-AR(6)+Ensemble,0.7018825613551894,0.2301506709328371
Q2.Feb2026,Global AR(6),-1.155,0.1014
Q2.Feb2026,T2-only AR(6),0.0645,0.0668
Q2.Feb2026,Hybrid Switching,-0.0266,0.07
