config,A_T1,A_T2,A_T3,k_Fr,R2_all,RMSE_all,R2_T1,R2_T2,R2_T3,R2_ext,n_ext
Phase1_best,400,250,30,0.0,0.7827,0.3075,0.8872,0.7604,0.7499,0.7059,298
P2_kF=0.00,400,250,30,0.0,0.7827,0.3075,0.8872,0.7604,0.7499,0.7059,298
P2_kF=0.01,400,250,30,0.01,0.7819,0.308,0.8871,0.7605,0.7486,0.7065,298
P2_kF=0.02,400,250,30,0.02,0.7807,0.3089,0.887,0.7606,0.7466,0.7062,298
P2_kF=0.03,400,250,30,0.03,0.779,0.3101,0.8868,0.7607,0.744,0.7051,298
P2_kF=0.04,400,250,30,0.04,0.777,0.3115,0.8866,0.7606,0.741,0.7033,298
Phase3_final,400,250,30,0.0,0.7827,0.3075,0.8872,0.7604,0.7499,0.7059,298
P4_gEta=-0.05,400,250,30,0.0,0.7827,0.3075,0.8871,0.7603,0.7498,0.7058,298
P4_gEta=-0.02,400,250,30,0.0,0.7827,0.3075,0.8871,0.7604,0.7498,0.7059,298
P4_gEta=-0.01,400,250,30,0.0,0.7827,0.3075,0.8871,0.7604,0.7498,0.7059,298
P4_gEta=0.00,400,250,30,0.0,0.7827,0.3075,0.8872,0.7604,0.7499,0.7059,298
P4_gEta=0.01,400,250,30,0.0,0.7827,0.3075,0.8872,0.7604,0.7499,0.7059,298
P4_gEta=0.02,400,250,30,0.0,0.7827,0.3075,0.8872,0.7604,0.7499,0.7059,298
P4_gEta=0.05,400,250,30,0.0,0.7828,0.3074,0.8872,0.7604,0.7499,0.706,298
P4_gEta=0.10,400,250,30,0.0,0.7828,0.3074,0.8873,0.7604,0.7499,0.7061,298
FINAL,400,250,30,0.0,0.7827,0.3075,0.8872,0.7604,0.7499,0.7059,298
