消融配置,特征数,RMSE_mean,RMSE_std,R2_mean,R2_std,MAPE_mean,MAPE_std,ablation_config,n_features
L1 only,21.0,0.5201283079944616,0.0285167276221241,-0.1390777321241457,1.1314004465661218,41.95951392751805,5.810190026948938,,
L1+L2,30.0,0.4595890347501964,0.0736814176867953,0.2997463140407109,0.4130236056807175,51.06118529399988,16.73943212358727,,
L1+L2+L3,45.0,0.4549794221041844,0.0767092051660119,0.3042276128352641,0.4140923054692556,48.12343614481442,14.91711030120365,,
L1+L2+L3+L4,85.0,0.4388407829142929,0.0794462000413171,0.3402504005971835,0.391582995040189,50.75237835586312,17.71631867126362,,
+L5(交互),89.0,0.4343181623057091,0.0765216348136942,0.3579468927711821,0.3806234097954915,49.28570647524313,16.069552822028417,,
+L2+(幂次),101.0,0.4359394112477686,0.0772171445213185,0.3461148667854633,0.3940246187811759,50.481810730864126,18.027679285660685,,
remove FILT_NTU,100.0,0.4361978581416967,0.0772705843175712,0.3455324957001984,0.3941109517003344,50.52379002082614,18.071735205095514,,
,,0.0948,0.0,0.8872,0.0,,,CSTR_T1,3.0
,,0.2597,0.0,0.7604,0.0,,,CSTR_T2,3.0
,,0.5306,0.0,0.788,0.0,,,CSTR_T3,3.0
,,0.2896,0.0,0.8072,0.0,,,CSTR_All_Balance,6.0
