feature,coefficient,abs_coef
CLR,-0.28669652593730816,0.28669652593730816
eta_coag,-0.2619193397281475,0.2619193397281475
neg_ln_eta,0.25515712928934386,0.25515712928934386
FILT_NTU,0.1490607643621773,0.1490607643621773
FILT_NTU_mean3,0.1293726345464431,0.1293726345464431
CW_WELL_LEVEL_std12,-0.057568538770855424,0.057568538770855424
CW_WELL_LEVEL,-0.04850559753668029,0.04850559753668029
FILT_NTU_std12,-0.04649576008758783,0.04649576008758783
day_sin,-0.04137068506763768,0.04137068506763768
FILT_NTU_max3,-0.04081999996822117,0.04081999996822117
FILT_NTU_mean12,0.030579375921425005,0.030579375921425005
FILT_NTU_max12,0.02660142510465506,0.02660142510465506
rw_p2,-0.023638861122066823,0.023638861122066823
PSI_alum,-0.0213237350992495,0.0213237350992495
CL2,-0.01997504534413789,0.01997504534413789
day_cos,-0.015215115615904332,0.015215115615904332
RIVER_LEVEL,0.011415283512884351,0.011415283512884351
FILT_NTU_mean6,-0.007115975793433836,0.007115975793433836
RW_FLOW_mean12,0.00663589602525099,0.00663589602525099
hour_sin,-0.006061862032811934,0.006061862032811934
TW_FLOW,0.005553973905211206,0.005553973905211206
RW_FLOW,0.00407837309041563,0.00407837309041563
RW_FLOW_max12,0.0001699447451304469,0.0001699447451304469
RW_CLR,-4.9257945095272224e-05,4.9257945095272224e-05
RW_FLOW_mean6,-1.7680277775846636e-05,1.7680277775846636e-05
