date,time,FILT_NTU_pred,P10,P50,P90
2026-02-01,07:00,0.0973,0.0854,0.0973,0.1698
2026-02-01,09:00,0.095,0.0806,0.095,0.1796
2026-02-01,11:00,0.0959,0.0791,0.0959,0.2012
2026-02-01,13:00,0.0913,0.0691,0.0913,0.2137
2026-02-01,15:00,0.0938,0.0714,0.0938,0.2288
2026-02-01,17:00,0.0938,0.0699,0.0938,0.247
2026-02-01,19:00,0.0954,0.0651,0.0954,0.2619
2026-02-01,21:00,0.094,0.0561,0.094,0.2727
2026-02-01,23:00,0.0951,0.0598,0.0951,0.2879
2026-02-01,25:00,0.097,0.0603,0.097,0.3017
2026-02-01,27:00,0.0972,0.0609,0.0972,0.3126
2026-02-01,29:00,0.0949,0.0578,0.0949,0.3249
2026-02-10,07:00,0.0919,0.0544,0.0919,0.3333
2026-02-10,09:00,0.0943,0.0575,0.0943,0.34
2026-02-10,11:00,0.094,0.0545,0.094,0.3501
2026-02-10,13:00,0.0932,0.054,0.0932,0.3637
2026-02-10,15:00,0.0937,0.056,0.0937,0.3662
2026-02-10,17:00,0.0956,0.0557,0.0956,0.3751
2026-02-10,19:00,0.0922,0.0449,0.0922,0.3889
2026-02-10,21:00,0.0967,0.0483,0.0967,0.4008
2026-02-10,23:00,0.0951,0.0502,0.0951,0.4014
2026-02-10,25:00,0.0955,0.0549,0.0955,0.4034
2026-02-10,27:00,0.0962,0.0568,0.0962,0.4158
2026-02-10,29:00,0.0968,0.0485,0.0968,0.4273
2026-02-20,07:00,0.0954,0.0485,0.0954,0.4349
2026-02-20,09:00,0.0961,0.0428,0.0961,0.4382
2026-02-20,11:00,0.0954,0.0453,0.0954,0.4425
2026-02-20,13:00,0.095,0.0428,0.095,0.4438
2026-02-20,15:00,0.0933,0.0447,0.0933,0.4542
2026-02-20,17:00,0.0931,0.0378,0.0931,0.4641
2026-02-20,19:00,0.0914,0.0352,0.0914,0.4737
2026-02-20,21:00,0.0891,0.0332,0.0891,0.4648
2026-02-20,23:00,0.0893,0.0421,0.0893,0.4691
2026-02-20,25:00,0.0896,0.037,0.0896,0.4689
2026-02-20,27:00,0.0902,0.0447,0.0902,0.4693
2026-02-20,29:00,0.0922,0.0437,0.0922,0.4741
